 - Plot 0; - Plot 0; - Plot 1; - Plot 1; - Plot 2; - Plot 2
684;200,1;684;200;684;373,8
685;200,4;685;200;685;372,3
686;197,2;686;200;686;388,6
687;197,7;687;200;687;386,3
688;199,2;688;200;688;379,1
689;196,7;689;200;689;391,6
690;195,9;690;200;690;396,5
691;198,1;691;200;691;385,6
692;195,9;692;200;692;396,8
693;201,2;693;200;693;370,2
694;195,2;694;200;694;400,6
695;197,9;695;200;695;387,5
696;204,5;696;200;696;353,9
697;199,8;697;200;697;377,5
698;199,5;698;200;698;379
699;200;699;200;699;376,6
700;199,7;700;200;700;378,2
701;198,4;701;200;701;384,5
702;204,1;702;200;702;355,6
703;195,1;703;200;703;401,4
704;204,8;704;200;704;352,3
705;200,7;705;200;705;372,8
706;200,6;706;200;706;373
707;197,7;707;200;707;388
708;200;708;200;708;376,2
709;204,7;709;200;709;352,5
710;203,5;710;200;710;358
711;204,8;711;200;711;351
712;198,4;712;200;712;383,1
713;201;713;200;713;370,3
714;199,7;714;200;714;376,5
715;200,5;715;200;715;372,8
716;196,2;716;200;716;394,3
717;192,8;717;200;717;412,5
718;196,4;718;200;718;394,7
719;204,2;719;200;719;355
720;192,9;720;200;720;412,2
721;205,1;721;200;721;351,1
722;201,9;722;200;722;366,9
723;207,4;723;200;723;338,4
724;197,2;724;200;724;389,7
725;206,3;725;200;725;343,8
726;205,8;726;200;726;345,3
727;195,9;727;200;727;395,4
728;195,8;728;200;728;396,4
729;195,7;729;200;729;397,5
730;196,5;730;200;730;393,6
731;198,8;731;200;731;382,1
732;199,3;732;200;732;379,6
733;205,3;733;200;733;349,1
734;200,6;734;200;734;372,6
735;197,4;735;200;735;389
736;198,8;736;200;736;382,1
737;200,1;737;200;737;375,5
738;197,3;738;200;738;390,1
739;198,3;739;200;739;384,9
740;192,8;740;200;740;413,1
741;198,1;741;200;741;386,9
742;194,6;742;200;742;405,2
743;198,1;743;200;743;387,7
744;198,1;744;200;744;387,9
745;201;745;200;745;373,2
746;203,4;746;200;746;361
747;203,7;747;200;747;359,1
748;199,7;748;200;748;379,3
749;195,7;749;200;749;399,4
750;200,7;750;200;750;374,2
751;200,1;751;200;751;377,6
752;197,1;752;200;752;392,6
753;203,8;753;200;753;358,9
754;205,4;754;200;754;350,5
755;198,6;755;200;755;384,4
756;196,3;756;200;756;396,3
757;200,1;757;200;757;377,5
758;204,5;758;200;758;355
759;203,9;759;200;759;357,5
760;201,9;760;200;760;367,4
761;207,9;761;200;761;336,7
762;197,9;762;200;762;386,8
763;197,6;763;200;763;388,5
764;205,3;764;200;764;349,5
765;200,5;765;200;765;373,3
766;203,8;766;200;766;356,3
767;200,3;767;200;767;374
768;198,4;768;200;768;383,7
769;204,1;769;200;769;354,8
770;195,8;770;200;770;396,5
771;197;771;200;771;390,8
772;202,3;772;200;772;364
773;199,6;773;200;773;377,9
774;201,1;774;200;774;370,2
775;200,8;775;200;775;371,4
776;201,1;776;200;776;370,2
777;189,8;777;200;777;427,7
778;196,2;778;200;778;395,7
779;191,4;779;200;779;420,6
780;199,8;780;200;780;378,5
781;195,5;781;200;781;400,6
782;197,4;782;200;782;391,6
783;202,1;783;200;783;367,8
784;203,7;784;200;784;359,4
785;201,6;785;200;785;369,9
786;203,3;786;200;786;361,1
787;199,6;787;200;787;379,5
788;201,5;788;200;788;369,9
789;194,4;789;200;789;406,1
790;204,6;790;200;790;354,2
791;199,4;791;200;791;380,7
792;199,3;792;200;792;381,2
793;202,9;793;200;793;362,7
794;209,2;794;200;794;330,3
795;195,8;795;200;795;397,9
796;197,6;796;200;796;389,2
797;199,9;797;200;797;377,5
798;205,2;798;200;798;350,3
799;196,3;799;200;799;395,6
800;202,8;800;200;800;362,6
801;197,3;801;200;801;390,3
802;202,4;802;200;802;364,5
803;195,4;803;200;803;400,2
804;198,5;804;200;804;384,9
805;202,1;805;200;805;366,5
806;197,4;806;200;806;390,4
807;198,2;807;200;807;386,5
808;193,5;808;200;808;410,4
809;198;809;200;809;388
810;202,7;810;200;810;364,6
811;206;811;200;811;347,5
812;205,6;812;200;812;348,9
813;204,1;813;200;813;356,2
814;198,4;814;200;814;384,8
815;197,2;815;200;815;391
816;197,2;816;200;816;391,3
817;200,2;817;200;817;376,3
818;200,8;818;200;818;373,3
819;199,6;819;200;819;379,3
820;199,9;820;200;820;377,5
821;200,9;821;200;821;372,6
822;200,2;822;200;822;376,2
823;205,2;823;200;823;350,7
824;201;824;200;824;371,5
825;198,2;825;200;825;385,5
826;198,4;826;200;826;384,8
827;202,7;827;200;827;363,1
828;201,7;828;200;828;367,6
829;189,3;829;200;829;430,9
830;198,6;830;200;830;384,3
831;199,6;831;200;831;379,4
832;201,3;832;200;832;371
833;200,7;833;200;833;374
834;192,3;834;200;834;416,8
835;199,8;835;200;835;379,1
836;198,2;836;200;836;387,2
837;197,9;837;200;837;388,9
838;205,3;838;200;838;351,3
839;194;839;200;839;408,7
840;202,4;840;200;840;366,4
841;193,5;841;200;841;411,3
842;196,5;842;200;842;397
843;198,7;843;200;843;386
844;197,6;844;200;844;391,8
845;196,7;845;200;845;396,5
846;204,1;846;200;846;359,2
847;201,6;847;200;847;371,4
848;203,5;848;200;848;361,8
849;201,2;849;200;849;372,9
850;203,2;850;200;850;362,9
851;197,6;851;200;851;390,8
852;203,2;852;200;852;362,4
853;201,6;853;200;853;370,5
854;208,1;854;200;854;337
855;201,3;855;200;855;370,8
856;199,6;856;200;856;379,6
857;206,8;857;200;857;342,8
858;204,1;858;200;858;355,8
859;200,6;859;200;859;373,5
860;206,7;860;200;860;342,1
861;203,8;861;200;861;356,1
862;197,2;862;200;862;389,9
863;204,6;863;200;863;352,2
864;201,3;864;200;864;368,4
865;205,7;865;200;865;345,8
866;203,5;866;200;866;356,8
867;204,5;867;200;867;351,4
868;202,6;868;200;868;360,4
869;200,6;869;200;869;370,4
870;200,2;870;200;870;372,5
871;204,3;871;200;871;351,2
872;203,4;872;200;872;355,5
873;199,9;873;200;873;373,1
874;194,5;874;200;874;400,5
875;201,7;875;200;875;364,6
876;195,9;876;200;876;393,6
877;193;877;200;877;408,9
878;206,5;878;200;878;340,8
879;202,4;879;200;879;361,3
880;203,9;880;200;880;353,5
881;200,6;881;200;881;369,6
882;200,3;882;200;882;371,3
883;197,7;883;200;883;384,6
884;203,1;884;200;884;356,9
885;192,5;885;200;885;410,7
886;192,6;886;200;886;411,3
887;197,1;887;200;887;389,1
888;191,8;888;200;888;416,3
889;200,8;889;200;889;370,9
890;205,3;890;200;890;348,2
891;200,5;891;200;891;372,3
892;194,7;892;200;892;401,4
893;199,8;893;200;893;375,9
894;203,3;894;200;894;358
895;200,4;895;200;895;372,6
896;195,3;896;200;896;398,8
897;205,8;897;200;897;345,9
898;201,2;898;200;898;368,6
899;196,3;899;200;899;393,5
900;198,1;900;200;900;384,4
901;198,8;901;200;901;381,3
902;196,3;902;200;902;394,1
903;201,9;903;200;903;366,1
904;192,4;904;200;904;414,1
905;193,5;905;200;905;409,1
906;193,6;906;200;906;409,6
907;197,8;907;200;907;388,7
908;197,3;908;200;908;391,6
909;195,8;909;200;909;399,5
910;197,1;910;200;910;393,1
911;192,8;911;200;911;415,5
912;199,2;912;200;912;383,6
913;199,5;913;200;913;382,1
914;196,6;914;200;914;397
915;204,1;915;200;915;359,1
916;201,5;916;200;916;371,9
917;200;917;200;917;379,4
918;197,6;918;200;918;391,7
919;203;919;200;919;364
920;201,8;920;200;920;370,3
921;205;921;200;921;353,8
922;207,2;922;200;922;342
923;207,1;923;200;923;341,8
924;201,3;924;200;924;370,6
925;199,9;925;200;925;377,4
926;196,5;926;200;926;394,9
927;195,8;927;200;927;399
928;200;928;200;928;377,6
929;210,6;929;200;929;323,9
930;206,4;930;200;930;343,9
931;197,6;931;200;931;388,1
932;200,7;932;200;932;372,8
933;192;933;200;933;417
934;203;934;200;934;361,6
935;201,6;935;200;935;368,7
936;200,1;936;200;936;376,1
937;198,9;937;200;937;382,1
938;199,3;938;200;938;380,1
939;200,6;939;200;939;373,9
940;195,5;940;200;940;399,6
941;198,4;941;200;941;385,4
942;200,7;942;200;942;373,6
943;197;943;200;943;392,5
944;197,9;944;200;944;388,1
945;204,5;945;200;945;355
946;201;946;200;946;372,1
947;199,5;947;200;947;379,9
948;196,3;948;200;948;396,3
949;195,1;949;200;949;402,7
950;201,4;950;200;950;371,1
951;198,8;951;200;951;383,9
952;203,2;952;200;952;361,8
953;203,3;953;200;953;361
954;205,4;954;200;954;349,8
955;198,4;955;200;955;385
956;200,7;956;200;956;373,5
957;200,5;957;200;957;374,5
958;202,8;958;200;958;362,5
959;201,6;959;200;959;368,7
960;205,2;960;200;960;349,9
961;204,3;961;200;961;353,8
962;202,1;962;200;962;365,1
963;196,6;963;200;963;392,9
964;202,1;964;200;964;365,2
965;211,2;965;200;965;318,4
966;204,6;966;200;966;351
967;201,4;967;200;967;366,8
968;201,5;968;200;968;366
969;203,4;969;200;969;356,4
970;201,1;970;200;970;367,4
971;200,4;971;200;971;371
972;193,7;972;200;972;405,1
973;202,9;973;200;973;359,1
974;201,9;974;200;974;363,8
975;192,1;975;200;975;413,8
976;204,7;976;200;976;350,2
977;198;977;200;977;383,9
978;198,4;978;200;978;382,1
979;197,5;979;200;979;386,6
980;206;980;200;980;343,8
981;196,5;981;200;981;391,7
982;192,9;982;200;982;410,2
983;193;983;200;983;410,2
984;196,5;984;200;984;393
985;203,4;985;200;985;358,5
986;198,6;986;200;986;382,6
987;190,6;987;200;987;423,6
988;191,8;988;200;988;418,4
989;194,1;989;200;989;407,4
990;198,5;990;200;990;385,5
991;192,5;991;200;991;416,4
992;200,7;992;200;992;375,4
993;199,8;993;200;993;379,6
994;194,5;994;200;994;406,7
995;198,2;995;200;995;388,3
996;200,7;996;200;996;375,9
997;196,9;997;200;997;395,4
998;207,6;998;200;998;340,8
999;202,4;999;200;999;366,8
1000;198,5;1000;200;1000;386,6
1001;203,1;1001;200;1001;362,9
1002;199,4;1002;200;1002;381,6
1003;197,4;1003;200;1003;391,7
1004;199;1004;200;1004;384
1005;193;1005;200;1005;414,9
1006;204,7;1006;200;1006;355,8
1007;198,7;1007;200;1007;385,9
1008;201,8;1008;200;1008;370
1009;203,8;1009;200;1009;359,7
1010;203,9;1010;200;1010;359
1011;206;1011;200;1011;347,9
1012;199,4;1012;200;1012;380,7
1013;204,5;1013;200;1013;354,9
1014;197,8;1014;200;1014;388,7
1015;206,2;1015;200;1015;345,8
1016;203,3;1016;200;1016;359,9
1017;202,1;1017;200;1017;366,2
1018;205,7;1018;200;1018;347,4
1019;200,4;1019;200;1019;373,8
1020;197,2;1020;200;1020;390,1
1021;204,8;1021;200;1021;351,8
1022;206,4;1022;200;1022;342,7
1023;203,5;1023;200;1023;357,1
1024;201,2;1024;200;1024;368,5
1025;196;1025;200;1025;395,1
1026;195,8;1026;200;1026;396,4
1027;193,9;1027;200;1027;406,6
1028;194,1;1028;200;1028;406
1029;198;1029;200;1029;386,6
1030;200,2;1030;200;1030;375,7
1031;205,5;1031;200;1031;348,7
1032;189,8;1032;200;1032;427,9
1033;203,3;1033;200;1033;360,4
1034;198,8;1034;200;1034;382,9
1035;200,5;1035;200;1035;374,5
1036;201,7;1036;200;1036;368,5
1037;204,5;1037;200;1037;354
1038;201,5;1038;200;1038;368,7
1039;202,8;1039;200;1039;361,7
1040;201,9;1040;200;1040;366,2
1041;190,2;1041;200;1041;425,8
1042;196,7;1042;200;1042;393,6
1043;202,3;1043;200;1043;365,1
1044;197,1;1044;200;1044;391,4
1045;200,1;1045;200;1045;376,7
1046;194,4;1046;200;1046;405,8
1047;198,6;1047;200;1047;384,7
1048;201,7;1048;200;1048;369,3
1049;199;1049;200;1049;382,8
1050;203,2;1050;200;1050;361,3
1051;202,8;1051;200;1051;363,1
1052;197,9;1052;200;1052;387,6
1053;199,5;1053;200;1053;380
1054;201,7;1054;200;1054;368,6
1055;199,9;1055;200;1055;377,9
1056;200,6;1056;200;1056;374,4
1057;207,1;1057;200;1057;340,8
1058;200,1;1058;200;1058;375,7
1059;199,1;1059;200;1059;381,2
1060;204,7;1060;200;1060;352,5
1061;199,4;1061;200;1061;379,3
1062;198,2;1062;200;1062;385,5
1063;201,8;1063;200;1063;367
1064;197,7;1064;200;1064;387,7
1065;202,8;1065;200;1065;362,2
1066;204,4;1066;200;1066;353,8
1067;204,8;1067;200;1067;351,1
1068;194,4;1068;200;1068;403,7
1069;197,3;1069;200;1069;389,5
1070;205,1;1070;200;1070;349,9
1071;197,1;1071;200;1071;390,5
1072;199;1072;200;1072;381,1
1073;192,4;1073;200;1073;414,6
1074;202,4;1074;200;1074;364,5
1075;199;1075;200;1075;381,6
1076;196,9;1076;200;1076;392,2
1077;200,4;1077;200;1077;374,6
1078;196,8;1078;200;1078;393,1
1079;209;1079;200;1079;330,9
1080;198,5;1080;200;1080;383,9
1081;200,8;1081;200;1081;372,2
1082;206,8;1082;200;1082;341,8
1083;205,4;1083;200;1083;347,9
1084;200;1084;200;1084;374,9
1085;198,1;1085;200;1085;384,9
1086;205,5;1086;200;1086;347
1087;202,2;1087;200;1087;363,4
1088;203,6;1088;200;1088;356
1089;203;1089;200;1089;359
1090;198;1090;200;1090;383,8
1091;195,9;1091;200;1091;394,8
1092;199,3;1092;200;1092;378,1
1093;203,9;1093;200;1093;354,7
1094;202;1094;200;1094;363,9
1095;200,6;1095;200;1095;370,6
1096;197;1096;200;1096;388,9
1097;197;1097;200;1097;389,6
1098;194,1;1098;200;1098;404,6
1099;192,1;1099;200;1099;415,2
1100;203,9;1100;200;1100;355,8
1101;198,6;1101;200;1101;382,5
1102;201,6;1102;200;1102;367,6
1103;195,3;1103;200;1103;399,4
1104;198,1;1104;200;1104;385,4
1105;199,7;1105;200;1105;377,4
1106;202,8;1106;200;1106;361,7
1107;198;1107;200;1107;386,1
1108;198,2;1108;200;1108;385,4
1109;193,1;1109;200;1109;411,2
1110;203,7;1110;200;1110;357,9
1111;191,7;1111;200;1111;418,9
1112;196,6;1112;200;1112;394,4
1113;206;1113;200;1113;347,3
1114;203;1114;200;1114;361,6
1115;210,6;1115;200;1115;322,9
1116;195;1116;200;1116;401
1117;196,4;1117;200;1117;394,3
1118;200,3;1118;200;1118;375,2
1119;198,3;1119;200;1119;385,2
1120;199,5;1120;200;1120;379
1121;204,4;1121;200;1121;354,5
1122;205,3;1122;200;1122;349,3
1123;199;1123;200;1123;380,7
1124;201,4;1124;200;1124;368,9
1125;202,6;1125;200;1125;362,7
1126;193,7;1126;200;1126;407,7
1127;194,9;1127;200;1127;402
1128;195,1;1128;200;1128;401,8
1129;199,9;1129;200;1129;377,8
1130;197,4;1130;200;1130;390,4
1131;194,1;1131;200;1131;407,2
1132;197,3;1132;200;1132;391,6
1133;208,8;1133;200;1133;333,5
1134;199,4;1134;200;1134;380,2
1135;195,5;1135;200;1135;400,2
1136;198,4;1136;200;1136;386,2
1137;194,8;1137;200;1137;404,3
1138;203,3;1138;200;1138;361,8
1139;195,6;1139;200;1139;400,8
1140;204,6;1140;200;1140;355
1141;195,7;1141;200;1141;400,2
1142;203,1;1142;200;1142;362,8
1143;202,2;1143;200;1143;367
1144;195;1144;200;1144;403,4
1145;204,8;1145;200;1145;354,1
1146;202,5;1146;200;1146;365,6
1147;199,4;1147;200;1147;381,1
1148;199,7;1148;200;1148;379,3
1149;201,3;1149;200;1149;371,2
1150;197,1;1150;200;1150;392,6
1151;195,9;1151;200;1151;399,2
1152;200,9;1152;200;1152;373,9
1153;202;1153;200;1153;368,1
1154;205,9;1154;200;1154;348,1
1155;204,7;1155;200;1155;353,6
1156;203,1;1156;200;1156;361,3
1157;201,9;1157;200;1157;367
1158;197;1158;200;1158;392
1159;195,3;1159;200;1159;400,8
1160;201,9;1160;200;1160;367,9
1161;203,9;1161;200;1161;357,5
